user_type,location_type,occupant_count,primary_energy_source,renewable_energy_used,renewable_capacity_kw,peak_usage_time,avg_usage_hours_per_day,power_appliance_count,smart_meter_installed,energy_efficient_usage,optimization_awareness,target_reduction_pct,tariff_reasonability,tariff_reasonability_,daily_energy_kwh,monthly_energy_kwh,monthly_bill_inr,consumption_level
Prosumers,Urban,10,Solar,Yes-Solar panel,10,Afternoon,20,2,Yes,No,Yes,25,1,1.2,2,250,300,2
Agriculture,Rural,1,Energy Grid,Yes-Organic,3,Morning,12,2,No,No,No,15,1,2,4,300,600,2
Commercial Buildings,Semi-Urban,10,Energy Grid,Yes-Wind turbines,5,Morning,16,1,Yes,Partially,Yes,25,1,2,8,450,900,2
Commercial Buildings,Semi-Urban,8,Generator,Yes-Wind turbines,3,Afternoon,20,2,Yes,Yes,Yes,30,1,2.25,18,400,900,2
Household,Urban,3,Energy Grid,Yes-Solar panel,2,Evening,10,2,No,Yes,Yes,20,1,2.4,4,250,600,2
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,Evening,8,2,Yes,Yes,Yes,25,2,2.86,7,210,600,2
Commercial Buildings,Urban,10,Solar,Yes-Solar panel,10,Morning,10,2,Yes,Yes,Yes,20,1,2,2,300,600,2
Household,Rural,2,Energy Grid,No,0,Night,6,1,No,No,No,5,2,3,2,100,300,1
Prosumers,Urban,3,Hybrid,Yes-Solar panel,6,Evening,7,1,Yes,Yes,Yes,15,2,3,6,180,540,1
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,Evening,8,2,Yes,Yes,Yes,25,2,3.14,7,210,660,2
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,Evening,8,2,Yes,Yes,Yes,25,2,3.14,7,210,660,2
Prosumers,Urban,7,Hybrid,Yes-Solar panel,10,Evening,13,3,Yes,Yes,Yes,30,2,3.45,11,330,1140,2
Prosumers,Urban,7,Hybrid,Yes-Solar panel,8,Evening,13,3,Yes,Yes,Yes,30,2,3.45,11,330,1140,2
Prosumers,Semi-Urban,5,Hybrid,Yes-Solar panel,3,Evening,10,2,Yes,Partially,Yes,20,2,3.5,8,240,840,2
Prosumers,Urban,5,Hybrid,Yes-Solar panel,5,Evening,11,3,Yes,Partially,Yes,20,2,3.56,9,270,960,2
Prosumers,Semi-Urban,6,Hybrid,Yes-Solar panel,5,Evening,11,2,Yes,Partially,Yes,20,2,3.56,9,270,960,2
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,Evening,8,1,Yes,Yes,Yes,15,2,3.67,6,180,660,1
Prosumers,Urban,3,Hybrid,Yes-Solar panel,4,Evening,7,1,Yes,Yes,Yes,15,2,3.67,6,180,660,1
