user_type,location_type,occupant_count,primary_energy_source,renewable_energy_used,renewable_capacity_kw,peak_usage_time,avg_usage_hours_per_day,power_appliance_count,smart_meter_installed,energy_efficient_usage,optimization_awareness,target_reduction_pct,tariff_reasonability,tariff_reasonability_,daily_energy_kwh,monthly_energy_kwh,monthly_bill_inr,consumption_level,Predicted_Monthly_Energy,Energy_Recommendation,Confidence_Level,Estimated_Cost_Saving_INR
4,2,10,3,3,10,0,20,2,1,0,1,25,1,1.2,2,250,300,1,361.7006725,Solar Panels,High,75
0,0,1,0,2,3,2,12,2,0,0,0,15,1,2,4,300,600,1,298.3021807,Grid with Solar Backup,Medium,60
1,1,10,0,4,5,2,16,1,1,1,1,25,1,2,8,450,900,1,413.9869553,Solar Panels,High,225
1,1,8,1,4,3,0,20,2,1,2,1,30,1,2.25,18,400,900,1,421.1392809,Solar Panels,High,225
2,2,3,0,3,2,1,10,2,0,2,1,20,1,2.4,4,250,600,1,241.2219929,Grid with Solar Backup,Medium,60
4,2,4,2,3,5,1,8,2,1,2,1,25,2,2.86,7,210,600,1,209.8060115,Grid with Solar Backup,Medium,60
1,2,10,3,3,10,2,10,2,1,2,1,20,1,2,2,300,600,1,303.1393073,Solar Panels,High,150
2,0,2,0,0,0,3,6,1,0,0,0,5,2,3,2,100,300,0,105.6107363,Grid with Solar Backup,Medium,30
4,2,3,2,3,6,1,7,1,1,2,1,15,2,3,6,180,540,0,178.8966812,Grid with Solar Backup,Medium,54
4,2,4,2,3,5,1,8,2,1,2,1,25,2,3.14,7,210,660,1,209.8060115,Grid with Solar Backup,Medium,66
4,2,4,2,3,5,1,8,2,1,2,1,25,2,3.14,7,210,660,1,209.8060115,Grid with Solar Backup,Medium,66
4,2,7,2,3,10,1,13,3,1,2,1,30,2,3.45,11,330,1140,1,329.1891653,Solar Panels,High,285
4,2,7,2,3,8,1,13,3,1,2,1,30,2,3.45,11,330,1140,1,329.1891653,Solar Panels,High,285
4,1,5,2,3,3,1,10,2,1,1,1,20,2,3.5,8,240,840,1,242.6125756,Solar / Wind Energy,Medium,126
4,2,5,2,3,5,1,11,3,1,1,1,20,2,3.56,9,270,960,1,268.3566385,Grid with Solar Backup,Medium,96
4,1,6,2,3,5,1,11,2,1,1,1,20,2,3.56,9,270,960,1,269.5065625,Solar / Wind Energy,Medium,144
4,2,4,2,3,5,1,8,1,1,2,1,15,2,3.67,6,180,660,0,180.3966812,Grid with Solar Backup,Medium,66
4,2,3,2,3,4,1,7,1,1,2,1,15,2,3.67,6,180,660,0,179.4040413,Grid with Solar Backup,Medium,66
4,0,5,2,3,4,2,9,2,1,2,0,15,2,3.71,7,210,780,1,214.0090462,Grid with Solar Backup,Medium,78
4,2,4,2,3,5,1,9,2,1,2,1,25,2,3.71,7,210,780,1,211.3718998,Grid with Solar Backup,Medium,78
4,2,4,2,3,4,1,8,1,1,2,1,15,2,3.71,7,210,780,1,208.8561622,Grid with Solar Backup,Medium,78
4,1,5,2,3,5,1,10,2,1,1,1,20,2,3.75,8,240,900,1,243.0065032,Solar / Wind Energy,Medium,135
4,0,6,2,3,6,2,11,2,1,2,0,20,2,3.78,9,270,1020,1,268.9513267,Grid with Solar Backup,Medium,102
4,0,4,2,3,4,2,9,2,1,2,0,15,2,4,7,210,840,1,211.1391646,Grid with Solar Backup,Medium,84
2,0,2,3,3,2,2,6,0,0,2,0,10,3,4.4,5,150,660,0,148.4703239,Grid with Solar Backup,Medium,66
2,0,2,3,3,2,2,6,0,0,2,0,10,3,4.4,5,150,660,0,148.4703239,Grid with Solar Backup,Medium,66
2,0,2,3,3,2,2,6,0,0,2,0,10,3,4.4,5,150,660,0,148.4703239,Grid with Solar Backup,Medium,66
2,1,3,0,0,0,1,8,1,0,2,1,10,3,4.5,6,200,900,1,201.2964296,Solar / Wind Energy,Medium,135
1,2,24,0,0,0,0,12,4,1,0,1,25,3,4.6,20,600,2760,2,594.6287188,Hybrid (Solar + Grid),High,966
2,0,3,3,3,2,2,7,1,0,2,0,10,3,4.67,6,180,840,0,180.2116624,Grid with Solar Backup,Medium,84
1,2,22,0,0,0,0,12,4,1,0,1,25,3,4.74,19,570,2700,2,570.4620885,Hybrid (Solar + Grid),High,945
3,2,35,0,0,0,3,18,5,1,0,1,30,3,4.79,24,720,3450,2,707.1172724,Hybrid (Solar + Grid),High,1208
3,2,38,0,0,0,3,19,5,1,0,1,30,3,4.79,24,720,3450,2,718.6385972,Hybrid (Solar + Grid),High,1208
2,2,4,0,3,3,1,10,2,0,1,1,15,3,4.8,8,250,1200,1,246.1214798,Grid with Solar Backup,Medium,120
3,2,40,0,0,0,3,20,5,1,0,1,30,3,4.8,25,750,3600,2,745.4372339,Hybrid (Solar + Grid),High,1260
3,2,45,0,0,0,3,20,5,1,0,1,30,3,4.81,26,780,3750,2,779.3919565,Hybrid (Solar + Grid),High,1312
3,2,45,0,0,0,3,20,5,1,0,1,30,3,4.81,26,780,3750,2,779.3919565,Hybrid (Solar + Grid),High,1312
3,2,50,0,0,0,3,21,5,1,0,1,30,3,4.81,27,810,3900,2,803.0118665,Hybrid (Solar + Grid),High,1365
1,2,22,0,0,0,0,12,4,1,0,1,25,3,4.84,19,570,2760,2,570.0120885,Hybrid (Solar + Grid),High,966
3,2,32,0,0,0,3,18,5,1,0,1,30,3,4.87,23,690,3360,2,685.8467291,Hybrid (Solar + Grid),High,1176
1,2,20,2,3,10,0,11,4,1,1,1,20,3,4.89,18,540,2640,2,541.8698008,Hybrid (Solar + Grid),High,924
1,2,14,2,3,10,0,11,4,1,1,1,20,3,4.89,18,540,2640,2,533.3721891,Hybrid (Solar + Grid),High,924
1,2,19,2,3,10,0,11,4,1,1,1,20,3,4.89,18,540,2640,2,541.4198008,Hybrid (Solar + Grid),High,924
3,2,36,0,0,0,3,19,5,1,0,1,30,3,4.92,24,720,3540,2,719.3885972,Hybrid (Solar + Grid),High,1239
2,0,5,3,3,5,2,12,2,0,0,0,10,3,5,10,300,1500,1,310.8471858,Solar Panels,High,375
3,2,25,0,0,0,3,16,5,1,0,1,25,3,5,20,600,3000,2,617.4983595,Hybrid (Solar + Grid),High,1050
2,2,2,0,3,2,1,6,1,0,2,1,10,3,5,4,120,600,0,123.4624107,Grid with Solar Backup,Medium,60
2,0,3,3,3,3,2,8,1,0,2,0,10,3,5,6,180,900,0,179.4676823,Grid with Solar Backup,Medium,90
2,2,5,0,1,0,1,10,2,0,1,1,15,3,5,10,300,1500,1,295.6369531,Grid with Solar Backup,Medium,150
2,2,3,0,3,2,1,8,1,0,2,1,10,3,5,6,180,900,0,179.865714,Grid with Solar Backup,Medium,90
2,1,5,2,3,5,1,12,3,1,1,1,20,3,5,10,300,1500,1,302.4543548,Solar Panels,High,375
2,0,4,3,3,3,2,9,2,0,2,0,10,3,5,7,210,1050,1,211.4578487,Grid with Solar Backup,Medium,105
