user_type,location_type,occupant_count,primary_energy_source,renewable_energy_used,renewable_capacity_kw,daily_energy_kwh,monthly_energy_kwh,yearly_energy_kwh,peak_usage_time,daily_bill_inr,monthly_bill_inr,yearly_bill_inr,primary_appliances,high_power_appliance_count,max_energy_appliance,max_appliance_monthly_kwh,seasonal_increase,peak_season,seasonal_appliance,energy_efficient_usage,avg_usage_hours_per_day,smart_meter_installed,optimization_awareness,target_reduction_pct,tariff_reasonability,energy_consistency
Prosumers,Urban,10,Solar,Yes-Solar panel,10,2,250,3000,Afternoon,₹ 10.00,₹ 300.00,"₹ 3,600.00","Air Conditioner, Refrigerator, Fan, Laptop/Computer, Industrial Equipments",2,Industrial Equipments,200,Yes,Monsoon,Air Conditioner,No,20,Yes,Yes,25,₹ 1.20,Valid
Agriculture,Rural,1,Energy Grid,Yes-Organic,3,4,300,3600,Morning,₹ 20.00,₹ 600.00,"₹ 7,200.00","Fan, Mobile/Smart Watch, Kitchen Appliances, Industrial Equipments",2,Industrial Equipments,200,Yes,Summer,Industrial Equipments,No,12,No,No,15,₹ 2.00,Valid
Commercial Buildings,Semi-Urban,10,Energy Grid,Yes-Wind turbines,5,8,450,5400,Morning,₹ 30.00,₹ 900.00,"₹ 10,800.00","Air Conditioner, Fan, Wifi",1,Wifi,200,Yes,Summer,Wifi,Partially,16,Yes,Yes,25,₹ 2.00,Valid
Commercial Buildings,Semi-Urban,8,Generator,Yes-Wind turbines,3,18,400,4800,Afternoon,₹ 30.00,₹ 900.00,"₹ 10,800.00","Air Conditioner, Wifi, Industrial Equipments",2,Wifi,300,Yes,Summer,Air Conditioner,Yes,20,Yes,Yes,30,₹ 2.25,Valid
Household,Urban,3,Energy Grid,Yes-Solar panel,2,4,250,3000,Evening,₹ 20.00,₹ 600.00,"₹ 30,000.00","Refrigerator, Washing Machine, Laptop/Computer, Mobile/Smart Watch, Kitchen Appliances",2,Air Conditioner,100,Yes,Monsoon,Heater,Yes,10,No,Yes,20,₹ 2.40,Valid
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,7,210,2520,Evening,₹ 20.00,₹ 600.00,"₹ 7,200.00","Air Conditioner, Fan, Refrigerator",2,Air Conditioner,160,Yes,Summer,Air Conditioner,Yes,8,Yes,Yes,25,₹ 2.86,Valid
Commercial Buildings,Urban,10,Solar,Yes-Solar panel,10,2,300,3600,Morning,₹ 20.00,₹ 600.00,"₹ 7,200.00","Air Conditioner, Fan, Laptop/Computer, Wifi, Mobile/Smart Watch, Industrial Equipments",2,Industrial Equipments,200,Yes,Winter,Air Conditioner,Yes,10,Yes,Yes,20,₹ 2.00,Valid
Household,Rural,2,Energy Grid,No,0,2,100,1200,Night,₹ 10.00,₹ 300.00,"₹ 3,600.00","Fan, Mobile/Smart Watch, Kitchen Appliances, Television",1,Television,80,No,Summer,Fan,No,6,No,No,5,₹ 3.00,Valid
Prosumers,Urban,3,Hybrid,Yes-Solar panel,6,6,180,2160,Evening,₹ 18.00,₹ 540.00,"₹ 6,480.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,100,No,Monsoon,Laptop/Computer,Yes,7,Yes,Yes,15,₹ 3.00,Valid
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,7,210,2520,Evening,₹ 22.00,₹ 660.00,"₹ 7,920.00","Air Conditioner, Fan, Refrigerator",2,Air Conditioner,170,Yes,Summer,Air Conditioner,Yes,8,Yes,Yes,25,₹ 3.14,Valid
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,7,210,2520,Evening,₹ 22.00,₹ 660.00,"₹ 7,920.00","Air Conditioner, Fan, Refrigerator",2,Air Conditioner,160,Yes,Summer,Air Conditioner,Yes,8,Yes,Yes,25,₹ 3.14,Valid
Prosumers,Urban,7,Hybrid,Yes-Solar panel,10,11,330,3960,Evening,₹ 38.00,"₹ 1,140.00","₹ 13,680.00","Air Conditioner, Fan, Refrigerator",3,Air Conditioner,280,Yes,Summer,Air Conditioner,Yes,13,Yes,Yes,30,₹ 3.45,Valid
Prosumers,Urban,7,Hybrid,Yes-Solar panel,8,11,330,3960,Evening,₹ 38.00,"₹ 1,140.00","₹ 13,680.00","Air Conditioner, Fan, Refrigerator",3,Air Conditioner,280,Yes,Summer,Air Conditioner,Yes,13,Yes,Yes,30,₹ 3.45,Valid
Prosumers,Semi-Urban,5,Hybrid,Yes-Solar panel,3,8,240,2880,Evening,₹ 28.00,₹ 840.00,"₹ 10,080.00","Refrigerator, Fan, Television",2,Refrigerator,150,Yes,Summer,Refrigerator,Partially,10,Yes,Yes,20,₹ 3.50,Valid
Prosumers,Urban,5,Hybrid,Yes-Solar panel,5,9,270,3240,Evening,₹ 32.00,₹ 960.00,"₹ 11,520.00","Air Conditioner, Refrigerator, Fan",3,Air Conditioner,240,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 3.56,Valid
Prosumers,Semi-Urban,6,Hybrid,Yes-Solar panel,5,9,270,3240,Evening,₹ 32.00,₹ 960.00,"₹ 11,520.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,160,Yes,Summer,Refrigerator,Partially,11,Yes,Yes,20,₹ 3.56,Valid
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,6,180,2160,Evening,₹ 22.00,₹ 660.00,"₹ 7,920.00","Laptop/Computer, Fan, Refrigerator",1,Laptop/Computer,110,No,Monsoon,Laptop/Computer,Yes,8,Yes,Yes,15,₹ 3.67,Valid
Prosumers,Urban,3,Hybrid,Yes-Solar panel,4,6,180,2160,Evening,₹ 22.00,₹ 660.00,"₹ 7,920.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,100,No,Monsoon,Laptop/Computer,Yes,7,Yes,Yes,15,₹ 3.67,Valid
Prosumers,Rural,5,Hybrid,Yes-Solar panel,4,7,210,2520,Morning,₹ 26.00,₹ 780.00,"₹ 9,360.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,130,No,Monsoon,Refrigerator,Yes,9,Yes,No,15,₹ 3.71,Valid
Prosumers,Urban,4,Hybrid,Yes-Solar panel,5,7,210,2520,Evening,₹ 26.00,₹ 780.00,"₹ 9,360.00","Air Conditioner, Fan, Refrigerator",2,Air Conditioner,170,Yes,Summer,Air Conditioner,Yes,9,Yes,Yes,25,₹ 3.71,Valid
Prosumers,Urban,4,Hybrid,Yes-Solar panel,4,7,210,2520,Evening,₹ 26.00,₹ 780.00,"₹ 9,360.00","Laptop/Computer, Fan, Refrigerator",1,Laptop/Computer,110,No,Monsoon,Laptop/Computer,Yes,8,Yes,Yes,15,₹ 3.71,Valid
Prosumers,Semi-Urban,5,Hybrid,Yes-Solar panel,5,8,240,2880,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,150,Yes,Summer,Refrigerator,Partially,10,Yes,Yes,20,₹ 3.75,Valid
Prosumers,Rural,6,Hybrid,Yes-Solar panel,6,9,270,3240,Morning,₹ 34.00,"₹ 1,020.00","₹ 12,240.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,160,Yes,Summer,Refrigerator,Yes,11,Yes,No,20,₹ 3.78,Valid
Prosumers,Rural,4,Hybrid,Yes-Solar panel,4,7,210,2520,Morning,₹ 28.00,₹ 840.00,"₹ 10,080.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,130,No,Monsoon,Refrigerator,Yes,9,Yes,No,15,₹ 4.00,Valid
Household,Rural,2,Solar,Yes-Solar panel,2,5,150,1800,Morning,₹ 22.00,₹ 660.00,"₹ 7,920.00","Fan, Mobile/Smart watch, Television",0,Television,80,No,Monsoon,Television,Yes,6,No,No,10,₹ 4.40,Valid
Household,Rural,2,Solar,Yes-Solar panel,2,5,150,1800,Morning,₹ 22.00,₹ 660.00,"₹ 7,920.00","Fan, Mobile/Smart watch, Television",0,Television,80,No,Monsoon,Television,Yes,6,No,No,10,₹ 4.40,Valid
Household,Rural,2,Solar,Yes-Solar panel,2,5,150,1800,Morning,₹ 22.00,₹ 660.00,"₹ 7,920.00","Fan, Mobile/Smart Watch, Television",0,Television,80,No,Monsoon,Television,Yes,6,No,No,10,₹ 4.40,Valid
Household,Semi-Urban,3,Energy Grid,No,0,6,200,2400,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Refrigerator, Fan, Television",1,Refrigerator,100,No,Monsoon,Refrigerator,Yes,8,No,Yes,10,₹ 4.50,Valid
Commercial Buildings,Urban,24,Energy Grid,No,0,20,600,7200,Afternoon,₹ 92.00,"₹ 2,760.00","₹ 33,120.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,320,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 4.60,Valid
Household,Rural,3,Solar,Yes-Solar panel,2,6,180,2160,Morning,₹ 28.00,₹ 840.00,"₹ 10,080.00","Fan, Refrigerator, Television",1,Fan,60,No,Monsoon,Fan,Yes,7,No,No,10,₹ 4.67,Valid
Commercial Buildings,Urban,22,Energy Grid,No,0,19,570,6840,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,310,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 4.74,Valid
Industrial Units,Urban,35,Energy Grid,No,0,24,720,8640,Night,₹ 115.00,"₹ 3,450.00","₹ 41,400.00","Industrial Equipments, Cooling Systems, Motors",5,Industrial Equipments,340,Yes,Winter,Industrial Equipments,No,18,Yes,Yes,30,₹ 4.79,Valid
Industrial Units,Urban,38,Energy Grid,No,0,24,720,8640,Night,₹ 115.00,"₹ 3,450.00","₹ 41,400.00","Industrial Equipments, Motors, Cooling Systems",5,Industrial Equipments,340,Yes,Winter,Industrial Equipments,No,19,Yes,Yes,30,₹ 4.79,Valid
Household,Urban,4,Energy Grid,Yes-Solar panel,3,8,250,3000,Evening,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Air Conditioner, Refrigerator, Fan",2,Air Conditioner,150,Yes,Summer,Air Conditioner,Partially,10,No,Yes,15,₹ 4.80,Valid
Industrial Units,Urban,40,Energy Grid,No,0,25,750,9000,Night,₹ 120.00,"₹ 3,600.00","₹ 43,200.00","Industrial Equipments, Cooling Systems, Motors",5,Industrial Equipments,350,Yes,Winter,Industrial Equipments,No,20,Yes,Yes,30,₹ 4.80,Valid
Industrial Units,Urban,45,Energy Grid,No,0,26,780,9360,Night,₹ 125.00,"₹ 3,750.00","₹ 45,000.00","Industrial Equipments, Cooling Systems, Motors",5,Industrial Equipments,360,Yes,Winter,Industrial Equipments,No,20,Yes,Yes,30,₹ 4.81,Valid
Industrial Units,Urban,45,Energy Grid,No,0,26,780,9360,Night,₹ 125.00,"₹ 3,750.00","₹ 45,000.00","Industrial Equipments, Motors, Cooling Systems",5,Industrial Equipments,360,Yes,Winter,Industrial Equipments,No,20,Yes,Yes,30,₹ 4.81,Valid
Industrial Units,Urban,50,Energy Grid,No,0,27,810,9720,Night,₹ 130.00,"₹ 3,900.00","₹ 46,800.00","Industrial Equipments, Cooling Systems, Motors",5,Industrial Equipments,380,Yes,Winter,Industrial Equipments,No,21,Yes,Yes,30,₹ 4.81,Valid
Commercial Buildings,Urban,22,Energy Grid,No,0,19,570,6840,Afternoon,₹ 92.00,"₹ 2,760.00","₹ 33,120.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,310,Yes,Summer,Air Conditioner,No,12,Yes,Yes,25,₹ 4.84,Valid
Industrial Units,Urban,32,Energy Grid,No,0,23,690,8280,Night,₹ 112.00,"₹ 3,360.00","₹ 40,320.00","Industrial Equipments, Cooling Systems, Lighting",5,Industrial Equipments,330,Yes,Winter,Industrial Equipments,No,18,Yes,Yes,30,₹ 4.87,Valid
Commercial Buildings,Urban,20,Hybrid,Yes-Solar panel,10,18,540,6480,Afternoon,₹ 88.00,"₹ 2,640.00","₹ 31,680.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,295,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 4.89,Valid
Commercial Buildings,Urban,14,Hybrid,Yes-Solar panel,10,18,540,6480,Afternoon,₹ 88.00,"₹ 2,640.00","₹ 31,680.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,295,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 4.89,Valid
Commercial Buildings,Urban,19,Hybrid,Yes-Solar panel,10,18,540,6480,Afternoon,₹ 88.00,"₹ 2,640.00","₹ 31,680.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,295,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 4.89,Valid
Industrial Units,Urban,36,Energy Grid,No,0,24,720,8640,Night,₹ 118.00,"₹ 3,540.00","₹ 42,480.00","Industrial Equipments, Cooling Systems, Motors",5,Industrial Equipments,350,Yes,Winter,Industrial Equipments,No,19,Yes,Yes,30,₹ 4.92,Valid
Household,Rural,5,Solar,Yes-Solar panel,5,10,300,3600,Morning,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Kitchen Appliances, Fan, Refrigerator",2,Air Conditioner,200,Yes,Summer,Air Conditioner,No,12,No,No,10,₹ 5.00,Valid
Industrial Units,Urban,25,Energy Grid,No,0,20,600,7200,Night,₹ 100.00,"₹ 3,000.00","₹ 36,000.00","Industrial Equipments, Cooling Systems, Lighting",5,Industrial Equipments,300,Yes,Winter,Industrial Equipments,No,16,Yes,Yes,25,₹ 5.00,Valid
Household,Urban,2,Energy Grid,Yes-Solar panel,2,4,120,1440,Evening,₹ 20.00,₹ 600.00,"₹ 7,200.00","Television, Fan, Laptop/Computer",1,Television,100,No,Monsoon,Television,Yes,6,No,Yes,10,₹ 5.00,Valid
Household,Rural,3,Solar,Yes-Solar panel,3,6,180,2160,Morning,₹ 30.00,₹ 900.00,"₹ 10,800.00","Fan, Refrigerator, Television",1,Fan,50,No,Monsoon,Fan,Yes,8,No,No,10,₹ 5.00,Valid
Household,Urban,5,Energy Grid,Planning to Use,0,10,300,3600,Evening,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,150,Yes,Summer,Refrigerator,Partially,10,No,Yes,15,₹ 5.00,Valid
Household,Urban,3,Energy Grid,Yes-Solar panel,2,6,180,2160,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Fan, Refrigerator, Television",1,Refrigerator,100,No,Monsoon,Refrigerator,Yes,8,No,Yes,10,₹ 5.00,Valid
Household,Semi-Urban,5,Hybrid,Yes-Solar panel,5,10,300,3600,Evening,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Air Conditioner, Fan, Refrigerator",3,Air Conditioner,200,Yes,Summer,Air Conditioner,Partially,12,Yes,Yes,20,₹ 5.00,Valid
Household,Rural,4,Solar,Yes-Solar panel,3,7,210,2520,Morning,₹ 35.00,"₹ 1,050.00","₹ 12,600.00","Fan, Kitchen Appliances, Refrigerator",2,Refrigerator,120,No,Monsoon,Refrigerator,Yes,9,No,No,10,₹ 5.00,Valid
Industrial Units,Urban,30,Energy Grid,No,0,22,660,7920,Night,₹ 110.00,"₹ 3,300.00","₹ 39,600.00","Industrial Equipments, Cooling Systems, Lighting",5,Industrial Equipments,320,Yes,Winter,Industrial Equipments,No,18,Yes,Yes,30,₹ 5.00,Valid
Household,Urban,2,Energy Grid,Planning to Use,0,5,150,1800,Evening,₹ 25.00,₹ 750.00,"₹ 9,000.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,90,No,Monsoon,Laptop/Computer,Yes,6,No,Yes,10,₹ 5.00,Valid
Household,Semi-Urban,6,Hybrid,Yes-Solar panel,5,12,360,4320,Evening,₹ 60.00,"₹ 1,800.00","₹ 21,600.00","Air Conditioner, Washing Machine, Refrigerator",3,Air Conditioner,250,Yes,Summer,Air Conditioner,Partially,14,Yes,Yes,20,₹ 5.00,Valid
Household,Urban,5,Energy Grid,Yes-Solar panel,3,9,270,3240,Evening,₹ 45.00,"₹ 1,350.00","₹ 16,200.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,140,Yes,Summer,Refrigerator,Partially,10,No,Yes,15,₹ 5.00,Valid
Agriculture,Rural,6,Energy Grid,No,0,14,420,5040,Morning,₹ 70.00,"₹ 2,100.00","₹ 25,200.00","Water Pump, Motor, Lighting",3,Water Pump,260,Yes,Summer,Water Pump,No,12,No,No,20,₹ 5.00,Valid
